Name,Year,Population,Vehicles,Vehicles (M),Vehicles (F),Transit Solo Auto,Transit Carpool,Transit Public Transp.,Transit Walked,Transit Other,Transit Total,New Transit Total,Solo Auto %,Carpool %,Public Transp. %,Walked %,Other %
"Austin-Round Rock, TX Metro Area",2009,1589393,652425,364205,288220,607740,100696,22434,13280,21618,810017,765768.0,79.4,13.1,2.9,1.7,2.8
"Austin-Round Rock-San Marcos, TX Metro Area",2010,1627571,662555,361790,300765,618506,98933,21479,13925,21248,823119,774091.0,79.9,12.8,2.8,1.8,2.7
"Austin-Round Rock-San Marcos, TX Metro Area",2011,1681167,677430,367865,309560,633174,99289,21987,14628,22131,845297,791209.0,80.0,12.5,2.8,1.8,2.8
"Austin-Round Rock-San Marcos, TX Metro Area",2012,1731777,694125,375025,319100,650154,97904,22229,15916,23316,866411,809519.0,80.3,12.1,2.7,2.0,2.9
"Austin-Round Rock, TX Metro Area",2013,1782032,718205,386880,331330,675639,94559,21640,16326,22104,890006,830268.0,81.4,11.4,2.6,2.0,2.7
"Austin-Round Rock, TX Metro Area",2014,1835016,740835,400000,340835,697542,96734,22099,16972,20966,917620,854313.0,81.6,11.3,2.6,2.0,2.5
"Austin-Round Rock, TX Metro Area",2015,1889094,772410,418195,354215,728481,98236,23025,16942,21268,954212,887952.0,82.0,11.1,2.6,1.9,2.4
"Austin-Round Rock, TX Metro Area",2016,1942615,804790,435085,369705,760558,98483,23350,17074,20951,993939,920416.0,82.6,10.7,2.5,1.9,2.3
"Austin-Round Rock, TX Metro Area",1990,846227,
"Austin-Round Rock, TX Metro Area",1991,874516,
"Austin-Round Rock, TX Metro Area",1992,901055,
"Austin-Round Rock, TX Metro Area",1993,931671,
"Austin-Round Rock, TX Metro Area",1994,964803,
"Austin-Round Rock, TX Metro Area",1995,1001054,
"Austin-Round Rock, TX Metro Area",1996,1036319,
"Austin-Round Rock, TX Metro Area",1997,1067953,
"Austin-Round Rock, TX Metro Area",1998,1104612,
"Austin-Round Rock, TX Metro Area",1999,1146050,
"Austin-Round Rock, TX Metro Area",2000,1249763,
"Austin-Round Rock, TX Metro Area",2001,1324344,
"Austin-Round Rock, TX Metro Area",2002,1353122,
"Austin-Round Rock, TX Metro Area",2003,1382675,
"Austin-Round Rock, TX Metro Area",2004,1419137,
"Austin-Round Rock, TX Metro Area",2005,1464563,
"Austin-Round Rock, TX Metro Area",2006,1527040,
"Austin-Round Rock, TX Metro Area",2007,1592590,
"Austin-Round Rock, TX Metro Area",2008,1652602,
